CAMPUS,CAMPNAME,CDALLS,CPE0312C,CPE0312P,CPEMALLC,CPEMALLP,CPEMALLT,CPETALLC,CPETECHC,CPETECHP,CPETECOC,CPETECOP,CPETLEPC,CPETLEPP,CPETPTEC,CPETPTEP,CPETSPEC,CPETSPEP,CPETSTEC,CPETSTEP,C_RATING,DISTNAME,DISTRICT,GRDHIGH,GRDLOW,GRDSPAN,GRDTYPE,REGION,REGNNAME
'014908001,SALADO H S,93,672,100,69,9.9,697,672,0,0,137,20.4,30,4.5,0,0,52,7.7,0,0,A,SALADO ISD,'014908,12,9,'09 - 12,S,'12,REGION 12: WACO
'014908005,BELL COUNTY DAEP,.,5,100,8,88.9,9,5,0,0,1,20,0,0,0,0,3,60,0,0,Not Rated,SALADO ISD,'014908,11,6,'06 - 11,B,'12,REGION 12: WACO
'014908042,SALADO MIDDLE,78,544,100,62,11.7,530,544,0,0,127,23.3,24,4.4,0,0,53,9.7,0,0,C,SALADO ISD,'014908,8,6,'06 - 08,M,'12,REGION 12: WACO
'014908102,THOMAS ARNOLD EL,78,498,49.2,120,14.2,845,1012,0,0,258,25.5,72,7.1,0,0,96,9.5,0,0,C,SALADO ISD,'014908,5,EE,'EE - 05,E,'12,REGION 12: WACO
'014909002,TEMPLE H S,75,2254,100,496,19.5,2542,2254,.,0,1632,72.4,255,11.3,0,0,342,15.2,.,0,C,TEMPLE ISD,'014909,12,9,'09 - 12,S,'12,REGION 12: WACO
'014909005,WHEATLEY ALTERNATIVE EDUCATION CENTER,.,72,97.3,174,100,174,74,.,0,65,87.8,5,6.8,0,0,18,24.3,.,0,Not Rated,TEMPLE ISD,'014909,11,KG,'KG - 11,B,'12,REGION 12: WACO
'014909006,BELL CO J J A E P,.,2,100,5,100,5,2,.,0,2,100,0,0,.,0,0,0,.,0,Not Rated,TEMPLE ISD,'014909,8,8,'08 - 08,M,'12,REGION 12: WACO
'014909008,FRED W EDWARDS ACADEMY AEC,83,75,100,105,75,140,75,.,0,59,78.7,8,10.7,0,0,9,12,.,0,B,TEMPLE ISD,'014909,12,9,'09 - 12,S,'12,REGION 12: WACO
'014909041,LAMAR MIDDLE,74,532,100,133,21,632,532,.,0,400,75.2,70,13.2,.,0,82,15.4,.,0,C,TEMPLE ISD,'014909,8,6,'06 - 08,M,'12,REGION 12: WACO
'014909042,TRAVIS SCIENCE ACADEMY,78,638,100,131,18.8,695,638,.,0,494,77.4,126,19.7,.,0,116,18.2,.,0,C,TEMPLE ISD,'014909,8,6,'06 - 08,M,'12,REGION 12: WACO
'014909044,BONHAM MIDDLE,88,643,100,144,19.1,754,643,.,0,494,76.8,69,10.7,.,0,127,19.8,.,0,B,TEMPLE ISD,'014909,8,6,'06 - 08,M,'12,REGION 12: WACO
'014909101,MERIDITH-DUNBAR EARLY CHILDHOOD ACADEMY,81,0,0,.,.,.,392,.,0,359,91.6,55,14,.,0,56,14.3,.,0,B,TEMPLE ISD,'014909,PK,EE,'EE - PK,E,'12,REGION 12: WACO
'014909102,CATER EL,67,160,49.8,91,28.8,316,321,.,0,248,77.3,10,3.1,.,0,61,19,.,0,Not Rated: SB 1365,TEMPLE ISD,'014909,5,KG,'KG - 05,E,'12,REGION 12: WACO
